dim 1	dim 2	dim 3	dim 4	dim 5	sample_type	sample	sample_type_binary
0.14868	0.38878	-0.10715	0.11013	0.07486	type 4	sample 377	bad
0.40859	0.33518	-0.00256	0.14978	0.07171	type 5	sample 378	bad
0.14713	0.40793	-0.09161	0.12491	0.07473	type 4	sample 379	good
0.11182	0.20513	0.00394	0.18919	0.13428	type 2	sample 380	bad
0.10966	0.21065	0.00349	0.18662	0.11813	type 2	sample 381	bad
0.41773	0.33423	-0.00352	0.1501	0.07347	type 5	sample 382	bad
0.14879	0.48369	0.02965	0.19535	0.07113	type 1	sample 383	good
0.14296	0.46444	0.03395	0.19162	0.06033	type 1	sample 384	good
0.14658	0.37388	-0.11754	0.1031	0.0778	type 4	sample 385	good
0.10894	0.20237	0.0136	0.18431	0.07571	type 2	sample 386	bad
0.1109	0.20596	0.00733	0.19155	0.13451	type 2	sample 387	bad
0.14094	0.3708	-0.09015	0.12072	0.07273	type 4	sample 388	bad
0.1402	0.3634	-0.08917	0.12054	0.07036	type 4	sample 389	good
0.14603	0.39431	-0.10514	0.1176	0.07007	type 4	sample 390	bad
0.14187	0.46389	0.02989	0.18641	0.05734	type 1	sample 391	good
0.14642	0.38594	-0.10177	0.1161	0.07266	type 4	sample 392	good
0.14691	0.48234	0.03373	0.19647	0.07292	type 1	sample 393	good
0.11233	0.20594	0.00676	0.18978	0.12779	type 2	sample 394	bad
0.1105	0.21303	0.01968	0.1722	-0.00729	type 2	sample 395	bad
0.14222	0.37238	-0.08825	0.12451	0.07565	type 4	sample 396	bad
0.11433	0.2131	0.01363	0.17026	-0.0061	type 2	sample 397	bad
0.14401	0.38589	-0.10843	0.10891	0.07936	type 4	sample 398	good
0.14966	0.40186	-0.10217	0.11378	0.07222	type 4	sample 399	good
0.17267	0.43313	0.05258	0.14215	0.07919	type 3	sample 400	bad
0.14772	0.48091	0.03394	0.1972	0.07013	type 1	sample 401	good
0.41401	0.33439	-0.00183	0.14868	0.07385	type 5	sample 402	good
0.41485	0.33755	0.00035	0.15072	0.0721	type 5	sample 403	good
0.14959	0.40998	-0.07211	0.12825	0.07296	type 4	sample 404	good
0.14707	0.48303	0.03356	0.19535	0.07508	type 1	sample 405	good
0.1071	0.20493	0.01255	0.183	0.07368	type 2	sample 406	bad
0.17154	0.44131	0.0491	0.15122	0.07886	type 3	sample 407	good
0.1101	0.21238	0.00317	0.18512	0.11573	type 2	sample 408	bad
0.14878	0.40188	-0.09806	0.11887	0.07661	type 4	sample 409	bad
0.14369	0.40477	0.07261	0.0908	0.07695	type 3	sample 410	bad
0.15099	0.34346	0.09886	0.02016	0.07939	type 3	sample 411	bad
0.39547	0.34395	0.00064	0.1506	0.07335	type 5	sample 412	bad
0.14484	0.38024	-0.11424	0.10958	0.07483	type 4	sample 413	good
0.14817	0.47828	0.03143	0.19391	0.07422	type 1	sample 414	good
0.10954	0.20592	0.011	0.18034	0.07603	type 2	sample 415	bad
0.41041	0.33744	-0.00358	0.15104	0.07122	type 5	sample 416	bad
0.41696	0.33647	-0.00186	0.15276	0.07266	type 5	sample 417	bad
0.14784	0.40538	-0.07798	0.12794	0.07509	type 4	sample 418	good
0.40973	0.3355	0.00166	0.15162	0.07261	type 5	sample 419	good
0.14101	0.35251	-0.08979	0.12058	0.07194	type 4	sample 420	good
0.15366	0.47926	0.02992	0.2006	0.07582	type 1	sample 421	good
0.14762	0.38644	-0.11211	0.10736	0.07112	type 4	sample 422	bad
0.14411	0.37602	-0.0912	0.12006	0.07781	type 4	sample 423	bad
0.11114	0.20957	0.0144	0.17562	-0.00075	type 2	sample 424	bad
0.18685	0.40237	0.05818	0.1093	0.07634	type 3	sample 425	bad
0.191	0.4313	0.04202	0.144	0.07332	type 3	sample 426	bad
0.10911	0.21032	0.01573	0.18024	0.04376	type 2	sample 427	bad
0.1461	0.39957	-0.09918	0.11705	0.0731	type 4	sample 428	good
0.15694	0.47953	0.02864	0.19867	0.08016	type 1	sample 429	good
0.38671	0.34935	0.00284	0.15141	0.07351	type 5	sample 430	bad
0.41604	0.33497	0.00187	0.1513	0.07263	type 5	sample 431	bad
0.14362	0.3782	-0.13418	0.09982	0.07205	type 4	sample 432	bad
0.35573	0.36329	0.00925	0.1538	0.07414	type 5	sample 433	bad
0.14604	0.36768	-0.11993	0.10539	0.06993	type 4	sample 434	bad
0.11193	0.21032	0.00617	0.18452	0.11414	type 2	sample 435	bad
0.14954	0.4001	-0.10455	0.1152	0.07202	type 4	sample 436	bad
0.38849	0.34619	0.00336	0.15775	0.07559	type 5	sample 437	bad
0.15611	0.47613	0.02611	0.19526	0.0759	type 1	sample 438	good
0.1406	0.46207	0.0367	0.18748	0.05776	type 1	sample 439	good
0.11012	0.20267	0.00746	0.18933	0.1316	type 2	sample 440	bad
0.10793	0.20297	0.01374	0.18574	0.09015	type 2	sample 441	bad
0.16197	0.44793	0.04756	0.15626	0.0783	type 3	sample 442	bad
0.14256	0.37393	-0.08711	0.12241	0.07556	type 4	sample 443	good
0.14432	0.3803	-0.11204	0.10606	0.07145	type 4	sample 444	good
0.15951	0.47791	0.02814	0.19392	0.07486	type 1	sample 445	good
0.14679	0.40474	-0.07875	0.12485	0.07275	type 4	sample 446	bad
0.14876	0.4812	0.03148	0.19459	0.07288	type 1	sample 447	good
0.15063	0.48334	0.03141	0.19485	0.07093	type 1	sample 448	good
0.409	0.33743	0.00071	0.15266	0.07388	type 5	sample 449	bad
0.15106	0.42386	-0.05583	0.1395	0.07102	type 4	sample 450	good
0.14948	0.48483	0.03004	0.19612	0.07062	type 1	sample 451	good
0.14843	0.39627	-0.11717	0.11199	0.07289	type 4	sample 452	bad
0.11123	0.20931	0.01501	0.17348	-0.00783	type 2	sample 453	bad
0.14765	0.39532	-0.10338	0.11524	0.07099	type 4	sample 454	good
0.14286	0.36614	-0.08532	0.12371	0.07622	type 4	sample 455	bad
0.10955	0.20429	0.01101	0.18475	0.08462	type 2	sample 456	bad
0.15066	0.41766	-0.06975	0.13072	0.07091	type 4	sample 457	good
0.11096	0.30921	0.14574	-0.07066	0.08218	type 3	sample 458	good
0.10881	0.20509	0.01059	0.18904	0.08377	type 2	sample 459	bad
0.15033	0.39056	-0.10309	0.11302	0.06942	type 4	sample 460	bad
0.14825	0.48073	0.03283	0.19423	0.07566	type 1	sample 461	good
0.20871	0.42163	0.03962	0.14858	0.0742	type 3	sample 462	bad
0.41582	0.33659	-6e-05	0.14757	0.07289	type 5	sample 463	bad
0.1435	0.46114	0.03675	0.19019	0.0582	type 1	sample 464	good
0.14894	0.38575	-0.1055	0.11284	0.07239	type 4	sample 465	bad
0.14702	0.41161	-0.08459	0.12528	0.07596	type 4	sample 466	good
0.14762	0.48065	0.03028	0.19606	0.07287	type 1	sample 467	good
0.10963	0.20539	0.0085	0.18393	0.09035	type 2	sample 468	bad
0.41344	0.33581	-0.00023	0.15188	0.0728	type 5	sample 469	good
0.15357	0.47597	0.02116	0.19638	0.07558	type 1	sample 470	good
0.14808	0.41234	-0.07399	0.13022	0.07018	type 4	sample 471	good
0.14797	0.48508	0.03177	0.19914	0.07699	type 1	sample 472	good
0.40869	0.33803	-0.00186	0.1537	0.07251	type 5	sample 473	good
0.14538	0.36886	-0.11783	0.10566	0.07229	type 4	sample 474	bad
0.11149	0.21586	0.01386	0.17433	0.03871	type 2	sample 475	bad
0.14469	0.37329	-0.09054	0.12044	0.07557	type 4	sample 476	bad
0.11058	0.20308	0.00832	0.18753	0.13077	type 2	sample 477	bad
0.11068	0.20797	0.00524	0.18856	0.13153	type 2	sample 478	bad
0.38544	0.35158	0.00273	0.15425	0.07257	type 5	sample 479	good
0.14165	0.46799	0.0363	0.19131	0.06234	type 1	sample 480	good
0.14303	0.38288	-0.10273	0.11682	0.07355	type 4	sample 481	good
0.10787	0.20503	0.01085	0.18255	0.07563	type 2	sample 482	bad
0.15003	0.38789	-0.10345	0.11565	0.07581	type 4	sample 483	bad
0.15057	0.40878	0.07307	0.0972	0.07557	type 3	sample 484	good
0.15446	0.3912	-0.11216	0.1093	0.06796	type 4	sample 485	good
0.41568	0.33397	0.00172	0.15266	0.07331	type 5	sample 486	good
0.11068	0.21294	0.00399	0.18562	0.11441	type 2	sample 487	bad
0.14377	0.37631	-0.0955	0.11783	0.0736	type 4	sample 488	bad
0.14999	0.43932	-0.04267	0.1415	0.07001	type 4	sample 489	bad
0.11217	0.20926	0.00501	0.18448	0.09172	type 2	sample 490	bad
0.41554	0.33245	-0.00055	0.14995	0.0722	type 5	sample 491	good
0.14772	0.39328	-0.10884	0.10869	0.07523	type 4	sample 492	bad
0.14739	0.37508	-0.12217	0.1017	0.07785	type 4	sample 493	good
0.14732	0.41328	-0.07314	0.12871	0.07117	type 4	sample 494	good
0.14508	0.47853	0.03093	0.19332	0.06972	type 1	sample 495	good
0.15352	0.47873	0.02606	0.19669	0.07614	type 1	sample 496	good
0.11099	0.20355	0.01135	0.18427	0.0799	type 2	sample 497	bad
0.14717	0.39187	-0.10483	0.11193	0.07487	type 4	sample 498	bad
0.1172	0.32485	0.13432	-0.04955	0.08081	type 3	sample 499	good
0.14672	0.38012	-0.12131	0.10747	0.07347	type 4	sample 500	good
0.14536	0.39867	-0.10397	0.11479	0.0742	type 4	sample 501	bad
0.41354	0.33471	0.00059	0.15112	0.07357	type 5	sample 502	bad
0.1108	0.21095	0.01586	0.16804	-0.00365	type 2	sample 503	bad
0.14814	0.37992	-0.10222	0.11105	0.07492	type 4	sample 504	bad
0.14213	0.36084	-0.0967	0.11801	0.07932	type 4	sample 505	bad
0.16171	0.4346	0.05256	0.13105	0.07661	type 3	sample 506	good
0.4159	0.33334	0.00203	0.15082	0.07441	type 5	sample 507	bad
0.40606	0.33814	0.00017	0.15341	0.07255	type 5	sample 508	bad
0.1097	0.20724	0.00452	0.19042	0.13624	type 2	sample 509	bad
0.14876	0.38589	-0.11239	0.11257	0.07714	type 4	sample 510	bad
0.38412	0.34967	0.00421	0.15456	0.07148	type 5	sample 511	bad
0.15349	0.4554	0.04678	0.15327	0.07457	type 3	sample 512	good
0.38901	0.34861	0.00474	0.15807	0.07181	type 5	sample 513	bad
0.14199	0.38107	-0.07217	0.1286	0.07431	type 4	sample 514	bad
0.14748	0.38871	-0.09453	0.11838	0.07255	type 4	sample 515	bad
0.11008	0.20348	0.01568	0.18155	0.07142	type 2	sample 516	bad
0.39067	0.34428	0.00255	0.1535	0.07099	type 5	sample 517	good
0.1457	0.38363	-0.10347	0.11468	0.07279	type 4	sample 518	good
0.1083	0.20497	0.01371	0.18393	0.07247	type 2	sample 519	bad
0.14781	0.39343	-0.09766	0.11867	0.07331	type 4	sample 520	good
0.14735	0.40652	-0.10158	0.11485	0.07074	type 4	sample 521	good
0.19587	0.43137	0.04197	0.15238	0.07503	type 3	sample 522	bad
0.10962	0.21166	0.01576	0.17842	0.04041	type 2	sample 523	bad
0.14311	0.37274	-0.08841	0.12124	0.08004	type 4	sample 524	good
0.14845	0.38478	-0.10644	0.11654	0.07141	type 4	sample 525	good
0.14822	0.4791	0.03237	0.19368	0.07371	type 1	sample 526	good
0.14617	0.38926	-0.09969	0.1163	0.07814	type 4	sample 527	good
0.14807	0.38754	-0.10576	0.11291	0.07823	type 4	sample 528	good
0.15027	0.38938	-0.11324	0.10963	0.0743	type 4	sample 529	bad
0.11093	0.2131	0.003	0.18451	0.11704	type 2	sample 530	bad
0.41336	0.3351	-0.00259	0.15185	0.07388	type 5	sample 531	good
0.36517	0.36049	0.00394	0.15835	0.07474	type 5	sample 532	good
0.39396	0.34501	0.00461	0.15744	0.07136	type 5	sample 533	good
0.15141	0.40015	-0.09436	0.11909	0.07783	type 4	sample 534	bad
0.14835	0.38985	-0.10601	0.11164	0.06853	type 4	sample 535	bad
0.14324	0.37617	-0.09439	0.1163	0.07253	type 4	sample 536	good
0.14766	0.48276	0.03415	0.19852	0.07489	type 1	sample 537	good
0.37628	0.35442	0.00631	0.15642	0.07191	type 5	sample 538	bad
0.14635	0.48176	0.03046	0.19385	0.07515	type 1	sample 539	good
0.10661	0.20522	0.01519	0.17848	0.05818	type 2	sample 540	bad
0.14799	0.45054	0.0511	0.15192	0.07654	type 3	sample 541	good
0.14774	0.40143	-0.10081	0.1164	0.07302	type 4	sample 542	bad
0.15438	0.4812	0.0356	0.20115	0.07759	type 1	sample 543	good
0.40329	0.34178	-0.00042	0.15555	0.07116	type 5	sample 544	good
0.11506	0.21052	0.00656	0.18499	0.11468	type 2	sample 545	bad
0.4149	0.33622	-0.00057	0.15182	0.07299	type 5	sample 546	bad
0.14837	0.38996	-0.10825	0.11224	0.07405	type 4	sample 547	good
0.11184	0.20598	0.00602	0.19176	0.13141	type 2	sample 548	bad
0.14725	0.40222	-0.09872	0.11528	0.07491	type 4	sample 549	bad
0.1518	0.41021	-0.08329	0.12493	0.0716	type 4	sample 550	bad
0.39315	0.347	0.0066	0.15641	0.07499	type 5	sample 551	bad
0.16541	0.44805	0.04962	0.16013	0.0778	type 3	sample 552	good
0.37894	0.35063	0.00265	0.15588	0.07442	type 5	sample 553	bad
0.14878	0.42769	-0.05441	0.13697	0.07077	type 4	sample 554	good
0.15163	0.48113	0.03155	0.19854	0.08065	type 1	sample 555	good
0.40629	0.33869	-0.00084	0.15331	0.07069	type 5	sample 556	good
0.17444	0.431	0.04457	0.14128	0.0761	type 3	sample 557	good
0.14486	0.3858	-0.12558	0.1031	0.07315	type 4	sample 558	bad
0.14897	0.38934	-0.12335	0.10464	0.07126	type 4	sample 559	bad
0.15876	0.47963	0.0323	0.19849	0.07877	type 1	sample 560	good
0.14121	0.46628	0.03422	0.19166	0.0608	type 1	sample 561	good
0.14777	0.40293	-0.09987	0.1184	0.07032	type 4	sample 562	bad
0.41861	0.33421	0.00064	0.14893	0.07344	type 5	sample 563	good
0.14813	0.39953	-0.10627	0.11215	0.07132	type 4	sample 564	bad
0.15013	0.48047	0.03279	0.19807	0.07071	type 1	sample 565	good
0.10912	0.20525	0.013	0.18448	0.07826	type 2	sample 566	bad
0.12757	0.36722	0.10528	0.01946	0.07643	type 3	sample 567	good
0.14853	0.38	-0.11247	0.10695	0.07394	type 4	sample 568	good
0.14478	0.3731	-0.08621	0.1205	0.07305	type 4	sample 569	good
0.18399	0.44502	0.03349	0.16341	0.07528	type 3	sample 570	bad
0.11239	0.21352	0.00444	0.18665	0.11687	type 2	sample 571	bad
0.41306	0.33567	-0.0039	0.15132	0.0687	type 5	sample 572	good
0.14767	0.40722	-0.09146	0.11945	0.06693	type 4	sample 573	good
0.41488	0.33407	-0.00221	0.15106	0.07286	type 5	sample 574	good
0.14688	0.48027	0.03385	0.19795	0.07275	type 1	sample 575	good
0.14909	0.3938	-0.09174	0.11994	0.0766	type 4	sample 576	good
0.41315	0.33494	-0.00123	0.15128	0.07221	type 5	sample 577	bad
0.24077	0.37072	0.05363	0.08919	0.07651	type 3	sample 578	good
0.15424	0.48286	0.02866	0.20006	0.07466	type 1	sample 579	good
0.41218	0.33514	-0.00056	0.14885	0.07098	type 5	sample 580	bad
0.15108	0.4841	0.02849	0.19669	0.07615	type 1	sample 581	good
0.14644	0.3899	-0.09877	0.11431	0.07139	type 4	sample 582	bad
0.14829	0.41863	-0.06852	0.13501	0.07284	type 4	sample 583	good
0.15288	0.47989	0.02333	0.19586	0.07378	type 1	sample 584	good
0.41175	0.3369	-0.00079	0.14876	0.07286	type 5	sample 585	good
0.10943	0.21172	0.02058	0.17989	0.04041	type 2	sample 586	bad
0.14322	0.36128	-0.10738	0.11022	0.07732	type 4	sample 587	bad
0.14936	0.39236	-0.10978	0.11328	0.07104	type 4	sample 588	good
0.14983	0.4828	0.03843	0.20162	0.07363	type 1	sample 589	good
0.16003	0.41534	0.0615	0.1136	0.07246	type 3	sample 590	bad
0.14721	0.38433	-0.10677	0.11227	0.07077	type 4	sample 591	good
0.14957	0.42797	-0.07004	0.12893	0.07185	type 4	sample 592	good
0.14631	0.38387	-0.10864	0.11206	0.07394	type 4	sample 593	bad
0.16213	0.42646	0.05787	0.1239	0.07837	type 3	sample 594	bad
0.15051	0.4273	-0.06401	0.13528	0.07154	type 4	sample 595	good
0.4005	0.34121	0.00092	0.15567	0.07356	type 5	sample 596	good
0.23659	0.38869	0.04669	0.12479	0.07589	type 3	sample 597	bad
0.15526	0.47771	0.02878	0.19827	0.0758	type 1	sample 598	good
0.14952	0.48248	0.02888	0.19554	0.07381	type 1	sample 599	good
0.14597	0.38209	-0.10344	0.11254	0.07669	type 4	sample 600	good
0.4133	0.33454	-0.00128	0.15273	0.07156	type 5	sample 601	good
0.15125	0.43375	-0.0668	0.13334	0.07314	type 4	sample 602	bad
0.14353	0.37899	-0.08744	0.12055	0.07885	type 4	sample 603	good
0.11188	0.21499	0.00283	0.18458	0.11651	type 2	sample 604	bad
0.1088	0.20661	0.01665	0.1797	0.06837	type 2	sample 605	bad
0.3605	0.36298	0.00681	0.16149	0.07363	type 5	sample 606	good
0.15023	0.40165	-0.10073	0.11539	0.07394	type 4	sample 607	bad
0.4139	0.33795	-0.00086	0.14842	0.0753	type 5	sample 608	bad
0.10911	0.20935	0.01551	0.17634	0.04181	type 2	sample 609	bad
0.40282	0.34169	0.00502	0.15212	0.07456	type 5	sample 610	good
0.15391	0.47911	0.02442	0.19787	0.07633	type 1	sample 611	good
0.41326	0.3353	-0.00018	0.14929	0.07213	type 5	sample 612	bad
0.14877	0.48217	0.02977	0.19683	0.0725	type 1	sample 613	good
0.14921	0.39721	-0.09733	0.11267	0.07287	type 4	sample 614	good
0.14307	0.37132	-0.08915	0.12014	0.07356	type 4	sample 615	good
0.14789	0.39136	-0.11027	0.10971	0.07407	type 4	sample 616	bad
0.14742	0.40122	-0.09826	0.11705	0.07248	type 4	sample 617	bad
0.14752	0.38111	-0.11208	0.11013	0.07678	type 4	sample 618	good
0.15151	0.48086	0.02476	0.19791	0.07758	type 1	sample 619	good
0.10978	0.20528	0.01113	0.18201	0.07955	type 2	sample 620	bad
0.41077	0.33636	-0.00042	0.15148	0.07258	type 5	sample 621	bad
0.41198	0.33219	0.00163	0.15072	0.07065	type 5	sample 622	bad
0.14666	0.3888	-0.10808	0.1127	0.07315	type 4	sample 623	bad
0.11405	0.21338	0.01385	0.1747	0.00171	type 2	sample 624	bad
0.17349	0.44294	0.04497	0.15619	0.07659	type 3	sample 625	bad
0.10951	0.20511	0.0148	0.18412	0.06891	type 2	sample 626	bad
0.14022	0.36395	-0.09605	0.1169	0.07447	type 4	sample 627	bad
0.11326	0.2132	0.01312	0.17124	-0.01027	type 2	sample 628	bad
0.15418	0.47921	0.022	0.19749	0.07678	type 1	sample 629	good
0.15633	0.48055	0.02129	0.19593	0.0771	type 1	sample 630	good
0.1448	0.39833	-0.09806	0.11602	0.07269	type 4	sample 631	good
0.41367	0.33482	0.00229	0.15025	0.07214	type 5	sample 632	good
0.15078	0.48195	0.03023	0.19453	0.07678	type 1	sample 633	good
0.14367	0.37657	-0.08867	0.12138	0.06947	type 4	sample 634	bad
0.14913	0.38556	-0.10966	0.11353	0.07363	type 4	sample 635	bad
0.16747	0.45492	0.03691	0.16997	0.07692	type 3	sample 636	bad
0.14941	0.38631	-0.11088	0.11361	0.07657	type 4	sample 637	bad
0.12339	0.34894	0.11516	-0.00437	0.07816	type 3	sample 638	good
0.16313	0.42709	0.05498	0.12703	0.0767	type 3	sample 639	good
0.15041	0.41973	-0.07196	0.13134	0.07631	type 4	sample 640	bad
0.1486	0.38822	-0.09924	0.11688	0.07335	type 4	sample 641	good
0.14901	0.48151	0.02842	0.19431	0.07315	type 1	sample 642	good
0.14939	0.43575	-0.06153	0.13605	0.07066	type 4	sample 643	good
0.14476	0.37768	-0.1092	0.11151	0.07313	type 4	sample 644	bad
0.41405	0.33237	0.0001	0.15261	0.07456	type 5	sample 645	bad
0.15933	0.47441	0.02871	0.19497	0.07755	type 1	sample 646	good
0.149	0.39955	-0.09602	0.12085	0.07357	type 4	sample 647	bad
0.11033	0.20711	0.01215	0.18263	0.05989	type 2	sample 648	bad
0.40262	0.33881	-0.00238	0.1501	0.07089	type 5	sample 649	bad
0.15225	0.47952	0.02616	0.1957	0.07623	type 1	sample 650	good
0.41423	0.3327	0.00205	0.15242	0.07302	type 5	sample 651	good
0.15841	0.47799	0.02451	0.19606	0.07497	type 1	sample 652	good
0.1494	0.42105	-0.10029	0.11788	0.06987	type 4	sample 653	bad
0.11505	0.3161	0.13919	-0.05898	0.08258	type 3	sample 654	good
0.15098	0.48275	0.02911	0.1976	0.07679	type 1	sample 655	good
0.15182	0.39598	-0.11209	0.11104	0.07347	type 4	sample 656	good
0.14696	0.43039	-0.07668	0.12435	0.07238	type 4	sample 657	good
0.14617	0.38397	-0.10973	0.11118	0.06964	type 4	sample 658	bad
0.10953	0.20472	0.01212	0.18611	0.09095	type 2	sample 659	bad
0.10803	0.20697	0.00904	0.18143	0.08246	type 2	sample 660	bad
0.14711	0.48478	0.03023	0.19757	0.07235	type 1	sample 661	good
0.14994	0.41729	-0.08485	0.12597	0.07215	type 4	sample 662	bad
0.14666	0.48	0.03377	0.19504	0.07522	type 1	sample 663	good
0.16872	0.4201	0.05923	0.12628	0.0775	type 3	sample 664	good
0.14469	0.40234	-0.09267	0.12011	0.07308	type 4	sample 665	good
0.14975	0.48119	0.03135	0.19373	0.07104	type 1	sample 666	good
0.11331	0.21157	0.01509	0.17159	-0.00418	type 2	sample 667	bad
0.41458	0.335	0.00098	0.15061	0.07426	type 5	sample 668	good
0.11414	0.21298	0.01573	0.17034	-0.00418	type 2	sample 669	bad
0.20009	0.39081	0.05474	0.0986	0.07704	type 3	sample 670	bad
0.11309	0.21409	0.00374	0.18331	0.1138	type 2	sample 671	bad
0.14578	0.37626	-0.07305	0.12724	0.07315	type 4	sample 672	good
0.14598	0.39896	-0.09903	0.11619	0.07459	type 4	sample 673	bad
0.10933	0.20676	0.00821	0.18769	0.12671	type 2	sample 674	bad
0.39421	0.34278	0.00223	0.15352	0.07417	type 5	sample 675	good
0.14488	0.3969	-0.09667	0.11484	0.07178	type 4	sample 676	good
0.14655	0.47692	0.0306	0.19345	0.07182	type 1	sample 677	good
0.15709	0.48015	0.02336	0.19645	0.07446	type 1	sample 678	good
0.14731	0.38561	-0.09464	0.12041	0.07364	type 4	sample 679	good
0.11204	0.21375	0.00368	0.18458	0.11528	type 2	sample 680	bad
0.14972	0.40746	-0.09565	0.12198	0.07253	type 4	sample 681	good
0.40732	0.34131	0.00036	0.15219	0.07309	type 5	sample 682	good
0.39867	0.34061	0.00334	0.15402	0.07166	type 5	sample 683	bad
0.10966	0.20857	0.00709	0.18761	0.11912	type 2	sample 684	bad
0.16628	0.44777	0.03765	0.16584	0.07411	type 3	sample 685	bad
0.1501	0.41488	-0.07234	0.13207	0.0715	type 4	sample 686	good
0.14796	0.48141	0.03339	0.1952	0.07095	type 1	sample 687	good
0.15432	0.48057	0.033	0.19836	0.07968	type 1	sample 688	good
0.1521	0.42069	-0.04787	0.1397	0.07423	type 4	sample 689	good
0.11317	0.21014	0.0058	0.18595	0.11793	type 2	sample 690	bad
0.15041	0.38476	-0.10464	0.11034	0.07239	type 4	sample 691	bad
0.15415	0.4776	0.02505	0.19713	0.07637	type 1	sample 692	good
0.41296	0.33508	-0.00188	0.15016	0.07132	type 5	sample 693	good
0.38158	0.34965	0.00198	0.15517	0.07556	type 5	sample 694	bad
0.11269	0.20969	0.00336	0.18644	0.12712	type 2	sample 695	bad
0.11036	0.21024	0.00419	0.186	0.11968	type 2	sample 696	bad
0.14993	0.48501	0.03081	0.19364	0.07211	type 1	sample 697	good
0.40998	0.33763	0.00031	0.14916	0.07438	type 5	sample 698	good
0.37119	0.35769	0.00695	0.15702	0.07067	type 5	sample 699	bad
0.14894	0.39238	-0.10293	0.11537	0.07013	type 4	sample 700	good
0.15108	0.42217	-0.05709	0.13497	0.07354	type 4	sample 701	good
0.15109	0.3887	-0.11325	0.10761	0.07481	type 4	sample 702	bad
0.14568	0.39017	-0.10425	0.11149	0.07276	type 4	sample 703	good
0.1466	0.39563	-0.08758	0.11944	0.0706	type 4	sample 704	bad
0.41004	0.33723	-0.00142	0.14863	0.07575	type 5	sample 705	bad
0.14394	0.386	-0.08748	0.12058	0.07096	type 4	sample 706	bad
0.41465	0.33454	0.00156	0.15139	0.07284	type 5	sample 707	good
0.11173	0.21257	0.0151	0.17302	-0.00818	type 2	sample 708	bad
0.40918	0.3385	-0.00065	0.15044	0.07028	type 5	sample 709	good
0.14835	0.38247	-0.10842	0.11321	0.07325	type 4	sample 710	good
0.14471	0.40783	0.07517	0.08905	0.07856	type 3	sample 711	bad
0.15003	0.40192	-0.08265	0.12526	0.07548	type 4	sample 712	good
0.41399	0.33533	-0.00263	0.15038	0.07549	type 5	sample 713	good
0.14304	0.46239	0.03304	0.19257	0.0589	type 1	sample 714	good
0.11275	0.20501	0.00621	0.18913	0.13073	type 2	sample 715	bad
0.11179	0.21138	0.00548	0.18552	0.11839	type 2	sample 716	bad
0.17544	0.44461	0.04322	0.15702	0.07274	type 3	sample 717	bad
0.15524	0.47668	0.02367	0.19739	0.07661	type 1	sample 718	good
0.11104	0.2076	0.0058	0.18962	0.13023	type 2	sample 719	bad
0.14663	0.48216	0.03101	0.19573	0.07402	type 1	sample 720	good
0.40402	0.3394	-0.00054	0.15113	0.07545	type 5	sample 721	bad
0.14896	0.38892	-0.10653	0.11396	0.07377	type 4	sample 722	bad
0.15202	0.38719	-0.11958	0.10889	0.07016	type 4	sample 723	good
0.40749	0.33892	-8e-05	0.15318	0.07626	type 5	sample 724	bad
0.15427	0.47866	0.025	0.19337	0.07622	type 1	sample 725	good
0.40714	0.33571	-0.00302	0.14992	0.07083	type 5	sample 726	bad
0.417	0.33505	-0.0014	0.1508	0.07614	type 5	sample 727	bad
0.14807	0.40084	-0.09744	0.11465	0.07309	type 4	sample 728	good
0.14322	0.37624	-0.08633	0.1233	0.07149	type 4	sample 729	good
0.15406	0.45016	0.04905	0.1535	0.07696	type 3	sample 730	bad
0.15453	0.47968	0.02854	0.19688	0.07746	type 1	sample 731	good
0.15719	0.42414	0.06305	0.11321	0.08131	type 3	sample 732	bad
0.35955	0.36454	0.0059	0.16033	0.07556	type 5	sample 733	good
0.14939	0.42906	-0.05444	0.13952	0.07351	type 4	sample 734	good
0.15825	0.43245	0.05026	0.13935	0.07626	type 3	sample 735	bad
0.14908	0.38931	-0.09973	0.1145	0.07607	type 4	sample 736	good
0.14137	0.46539	0.03179	0.1889	0.06296	type 1	sample 737	good
0.17156	0.44261	0.04617	0.15253	0.07907	type 3	sample 738	bad
0.14869	0.48219	0.03092	0.19451	0.07289	type 1	sample 739	good
0.14717	0.40001	-0.09953	0.11662	0.07312	type 4	sample 740	good
0.15503	0.47803	0.02598	0.19534	0.0783	type 1	sample 741	good
0.14221	0.37451	-0.08929	0.12171	0.07461	type 4	sample 742	bad
0.14163	0.36629	-0.0854	0.12206	0.07682	type 4	sample 743	good
0.14437	0.38745	-0.09387	0.12359	0.07277	type 4	sample 744	good
0.4147	0.33703	0.00122	0.15031	0.0741	type 5	sample 745	good
0.38795	0.34934	0.00433	0.15485	0.07416	type 5	sample 746	bad
0.14718	0.48319	0.03184	0.19443	0.07178	type 1	sample 747	good
0.14844	0.3957	-0.09949	0.11483	0.07389	type 4	sample 748	good
0.40946	0.33867	-0.00066	0.1521	0.07402	type 5	sample 749	bad
0.11315	0.21129	0.00323	0.1846	0.11355	type 2	sample 750	bad
0.11149	0.21285	0.01166	0.16689	-0.0059	type 2	sample 751	bad
0.14815	0.39004	-0.10236	0.11145	0.07412	type 4	sample 752	good
0.12319	0.34604	0.11874	-0.01381	0.08127	type 3	sample 753	bad
